	pseudotime	branches	scalings
cell_56	56.0	1.0	0.44104390771816576
cell_57	57.0	1.0	2.687358332701282
cell_58	58.0	1.0	0.19706020729999962
cell_59	59.0	1.0	1.5592920292515058
cell_60	60.0	1.0	1.9463964002599177
cell_61	61.0	1.0	0.5341338405412654
cell_62	62.0	1.0	1.5302338138522698
cell_63	63.0	1.0	0.3319144071273383
cell_64	64.0	1.0	0.66916822768377
cell_65	65.0	1.0	3.007538807612728
cell_66	66.0	1.0	0.6641536715499707
cell_67	67.0	1.0	2.003674113661049
cell_68	68.0	1.0	0.44668402617705205
cell_69	69.0	1.0	1.0931568782220107
cell_70	70.0	1.0	0.43511928934612537
cell_71	71.0	1.0	3.8120092606511857
cell_72	72.0	1.0	0.9524349586138668
cell_73	73.0	1.0	1.4083474242997287
cell_74	74.0	1.0	3.827105868907065
cell_75	75.0	1.0	2.420750109234334
cell_76	76.0	1.0	0.7896889008649313
cell_77	77.0	1.0	0.7740559203012776
cell_78	78.0	1.0	0.593880650683044
cell_79	79.0	1.0	0.6934013526251548
cell_80	80.0	1.0	0.8648414463528843
cell_81	81.0	1.0	1.537075535238816
cell_82	82.0	1.0	1.1006192441789835
cell_83	83.0	1.0	1.7073724094634315
cell_84	84.0	1.0	0.8416964834522108
cell_85	85.0	1.0	1.0774431947704366
cell_86	86.0	1.0	0.5285593241540094
cell_87	87.0	1.0	0.33626919561280744
cell_88	88.0	1.0	3.619033720585061
cell_89	89.0	1.0	0.8326099452724482
cell_90	90.0	1.0	0.8238553227926326
cell_91	91.0	1.0	1.6323401189077287
cell_92	92.0	1.0	1.3115974423976837
cell_93	93.0	1.0	0.5810910433310927
cell_94	94.0	1.0	2.529134252689161
cell_95	95.0	1.0	1.7218973488611304
cell_96	96.0	1.0	0.3938874981970591
cell_97	97.0	1.0	0.7036276056143579
cell_98	98.0	1.0	1.7443810481049895
cell_99	99.0	1.0	2.5698381100216405
cell_100	50.0	2.0	1.3916237792938464
cell_101	51.0	2.0	0.5549389070863585
cell_102	52.0	2.0	0.6699412326985921
cell_103	53.0	2.0	0.6762951267285476
cell_104	54.0	2.0	0.8816698840694711
cell_105	55.0	2.0	3.998960603933752
cell_106	56.0	2.0	0.7631089452649316
cell_107	57.0	2.0	1.1933471738696582
cell_108	58.0	2.0	2.513912590157144
cell_109	59.0	2.0	3.5767362399922664
cell_110	60.0	2.0	0.3860755782311936
cell_111	61.0	2.0	1.3637300622187214
cell_112	62.0	2.0	3.5024826805254285
cell_113	63.0	2.0	3.853939213361645
cell_114	64.0	2.0	0.6342659829587427
cell_115	65.0	2.0	0.5242838936900774
cell_116	66.0	2.0	0.7507046881092573
cell_117	67.0	2.0	2.8194734834934994
cell_118	68.0	2.0	0.40781786069962744
cell_119	69.0	2.0	1.1255463612895293
cell_120	70.0	2.0	0.9297399627848908
cell_121	71.0	2.0	1.0559664492943142
cell_122	72.0	2.0	1.0105664131514844
cell_123	73.0	2.0	3.564034513541819
cell_124	74.0	2.0	4.287039511574508
cell_125	75.0	2.0	1.1280868636624632
cell_126	76.0	2.0	1.325910778017952
cell_127	77.0	2.0	0.9958156419384224
cell_128	78.0	2.0	4.243178849948294
cell_129	79.0	2.0	1.1857131247460038
cell_130	80.0	2.0	2.4739683858312196
cell_131	81.0	2.0	0.44537540712625473
cell_132	82.0	2.0	0.957564300443314
cell_133	83.0	2.0	2.163085688755806
cell_134	84.0	2.0	1.0120843514780615
cell_135	85.0	2.0	0.28154847797188937
cell_136	86.0	2.0	0.8285207508257986
cell_137	87.0	2.0	3.29000660716834
cell_138	88.0	2.0	1.0623355296807078
cell_139	89.0	2.0	0.2663185526668661
cell_140	90.0	2.0	0.3430534151987826
cell_141	91.0	2.0	0.19240790913918426
cell_142	92.0	2.0	0.2563141279136583
cell_143	93.0	2.0	1.0943736391730448
cell_144	94.0	2.0	0.6508018066798599
cell_145	95.0	2.0	2.0295778120068646
cell_146	96.0	2.0	0.39544501077975386
cell_147	97.0	2.0	0.2682233804305751
cell_148	98.0	2.0	0.660332078520343
cell_149	99.0	2.0	0.9831252427570614
cell_150	100.0	3.0	2.4624613828189363
cell_151	101.0	3.0	1.1273717461244341
cell_152	102.0	3.0	2.4407624420895853
cell_153	103.0	3.0	0.6015279879034913
cell_154	104.0	3.0	1.0131590352931075
cell_155	105.0	3.0	0.42590801995101496
cell_156	106.0	3.0	0.993160859413941
cell_157	107.0	3.0	1.240191455897967
cell_158	108.0	3.0	0.6796092176195266
cell_159	109.0	3.0	0.6062471649512464
cell_160	110.0	3.0	0.7207398253575618
cell_161	111.0	3.0	1.002597257851966
cell_162	112.0	3.0	1.756071379448441
cell_163	113.0	3.0	1.2032047116100977
cell_164	114.0	3.0	0.15801784658586698
cell_165	115.0	3.0	1.4555827968258608
cell_166	116.0	3.0	1.1919564847165176
cell_167	117.0	3.0	0.6069403854318852
cell_168	118.0	3.0	1.5993628706235652
cell_169	119.0	3.0	0.810967384360034
cell_170	120.0	3.0	0.5777715586737244
cell_171	121.0	3.0	0.2231305070295545
cell_172	122.0	3.0	1.359364783111134
cell_173	123.0	3.0	0.4265751022226611
cell_174	124.0	3.0	1.6391559330375005
cell_175	125.0	3.0	1.0023523299396178
cell_176	126.0	3.0	3.683247454446195
cell_177	127.0	3.0	0.3060669736555999
cell_178	128.0	3.0	2.31065125607089
cell_179	129.0	3.0	1.554043121680557
cell_180	130.0	3.0	0.23689123276581017
cell_181	131.0	3.0	3.0703635308429296
cell_182	132.0	3.0	0.5364041323953268
cell_183	133.0	3.0	2.578693549537741
cell_184	134.0	3.0	1.4685502994059618
cell_185	135.0	3.0	1.6634449729118888
cell_186	136.0	3.0	2.073041558469925
cell_187	137.0	3.0	1.5252838057071054
cell_188	138.0	3.0	1.7493699179779525
cell_189	139.0	3.0	1.2453249042553072
cell_190	140.0	3.0	1.6157425083828618
cell_191	141.0	3.0	0.7946647837985403
cell_192	142.0	3.0	2.039278166280164
cell_193	143.0	3.0	0.630928244994117
cell_194	144.0	3.0	1.7062527546111612
cell_195	145.0	3.0	1.73434925958227
cell_196	146.0	3.0	1.826526534384181
cell_197	147.0	3.0	1.9786993915556514
cell_198	148.0	3.0	0.8607069290575078
cell_199	149.0	3.0	0.2976935717376884
cell_200	100.0	4.0	1.0361901882822901
cell_201	101.0	4.0	2.1652538577686804
cell_202	102.0	4.0	1.7325660700730334
cell_203	103.0	4.0	1.522647425072804
cell_204	104.0	4.0	2.080529227670654
cell_205	105.0	4.0	1.4491668113535316
cell_206	106.0	4.0	0.7500105470810436
cell_207	107.0	4.0	1.1500839321419614
cell_208	108.0	4.0	0.41752161674033345
cell_209	109.0	4.0	0.4362162462544727
cell_210	110.0	4.0	2.223026848716168
cell_211	111.0	4.0	1.1769120014733772
cell_212	112.0	4.0	0.9446875656452415
cell_213	113.0	4.0	0.6532634263340314
cell_214	114.0	4.0	1.8709132617030024
cell_215	115.0	4.0	0.4865924705761639
cell_216	116.0	4.0	0.649750364658576
cell_217	117.0	4.0	2.243160185924011
cell_218	118.0	4.0	2.8172586646312974
cell_219	119.0	4.0	0.26963649581774324
cell_220	120.0	4.0	3.754383916288669
cell_221	121.0	4.0	1.3162556615340688
cell_222	122.0	4.0	0.5985890963406153
cell_223	123.0	4.0	1.1410438878270002
cell_224	124.0	4.0	0.42004533052901927
cell_225	125.0	4.0	7.570611081665378
cell_226	126.0	4.0	2.655596688248462
cell_227	127.0	4.0	1.232149083982153
cell_228	128.0	4.0	0.32767273930817703
cell_229	129.0	4.0	0.5824815622851472
cell_230	130.0	4.0	0.4482755968330781
cell_231	131.0	4.0	0.9073492254419934
cell_232	132.0	4.0	3.319365938677412
cell_233	133.0	4.0	3.498170007096915
cell_234	134.0	4.0	0.3506113297248043
cell_235	135.0	4.0	0.653348255961783
cell_236	136.0	4.0	1.2956414814599808
cell_237	137.0	4.0	2.679434468203363
cell_238	138.0	4.0	0.9491801192397935
cell_239	139.0	4.0	3.8592940996219367
cell_240	140.0	4.0	1.1736777050117462
cell_241	141.0	4.0	0.21867578414253036
cell_242	142.0	4.0	0.7991076691043875
cell_243	143.0	4.0	0.49819129556447916
cell_244	144.0	4.0	0.6666351694911883
cell_245	145.0	4.0	0.8755522796101405
cell_246	146.0	4.0	0.4032927339136301
cell_247	147.0	4.0	1.6132509943995508
cell_248	148.0	4.0	2.2296693312443905
cell_249	149.0	4.0	0.16544932242242688
